Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly
-0.011667,-0.391667,0.055,-30.95,0.828333,0.168333,0.308384,65.0,5.939312,-0.007227,0.5,0.666667,0.333333,0.166667,0.5,0.5,0.0,0.0,0.0,-1
-0.061667,0.141667,0.501667,103.8,6.36,-0.86,1.105548,33.333333,12.781557,2.994881,0.333333,0.333333,0.333333,0.166667,0.5,0.5,0.5,0.5,0.0,-1
0.278333,0.728333,0.241667,199.266667,6.186667,-0.796667,0.725018,0.0,12.781557,2.994881,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
0.115,0.136667,0.036667,-9.033333,3.338333,-0.463333,0.903647,65.0,10.105428,0.994865,0.0,0.166667,0.166667,0.166667,0.5,0.5,0.5,0.333333,0.166667,-1
0.33,0.55,0.265,8.333333,1.61,-0.345,0.267377,0.0,10.871898,2.992684,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,-1
-0.033333,0.491667,-0.056667,124.366667,1.17,0.21,0.667304,65.0,11.085048,1.033184,0.0,0.0,0.166667,0.666667,0.666667,0.333333,0.333333,0.333333,0.0,-1
-0.718333,0.046667,-0.261667,53.583333,-2.378333,0.73,0.276136,113.333333,6.015,-0.005094,0.0,0.5,0.333333,0.333333,1.0,0.0,0.0,0.0,0.0,-1
-0.886667,-0.346667,-0.011667,13.716667,-2.02,0.688333,0.269494,65.0,6.015,-0.005094,0.333333,0.666667,0.333333,0.166667,1.0,0.0,0.0,0.0,0.0,-1
-0.331429,-0.037143,-0.215714,59.757143,-0.88,0.48,0.396522,97.142857,6.015,-0.005094,0.142857,0.428571,0.285714,0.285714,0.714286,0.285714,0.0,0.0,0.0,-1
-0.297143,-0.094286,0.337143,-31.928571,-0.181429,0.06,0.820294,194.285714,10.871898,2.992684,0.0,0.285714,0.571429,0.0,0.571429,0.428571,0.428571,0.428571,0.0,-1
-0.201429,-0.001429,-0.258571,71.342857,0.131429,0.355714,0.35343,55.714286,4.836672,-0.968763,0.0,0.142857,0.142857,0.428571,0.714286,0.285714,0.285714,0.142857,0.142857,-1
-0.188571,-0.521429,0.1,15.428571,1.017143,0.041429,0.313082,0.0,5.250673,-0.149564,0.571429,0.571429,0.0,0.142857,0.714286,0.285714,0.0,0.0,0.0,-1
-0.644286,-0.075714,-0.23,-12.9,-1.742857,0.772857,0.309675,97.142857,6.015,-0.005094,0.142857,0.428571,0.285714,0.428571,0.857143,0.142857,0.0,0.0,0.0,-1
-0.352857,-0.491429,-0.182857,59.485714,1.2,0.067143,0.049233,55.714286,2.995,-1.004916,0.142857,0.714286,0.142857,0.0,0.714286,0.285714,0.142857,0.0,0.142857,-1
-0.208571,-0.274286,-0.328571,77.657143,0.301429,0.325714,0.045763,125.714286,3.127458,-2.005812,0.142857,0.285714,0.428571,0.142857,0.714286,0.285714,0.285714,0.0,0.285714,-1
-0.475714,-0.098571,0.184286,-15.685714,-0.957143,0.267143,0.403862,152.857143,10.621395,1.993425,0.142857,0.285714,0.428571,0.142857,0.714286,0.285714,0.285714,0.285714,0.0,-1
0.215714,-0.661429,0.055714,51.471429,3.172857,-0.214286,0.272088,14.285714,3.294999,-1.004386,0.571429,0.714286,0.142857,0.0,0.285714,0.714286,0.142857,0.0,0.142857,-1
-0.352857,-0.237143,0.045714,75.414286,-0.292857,0.392857,0.080156,14.285714,5.883294,-0.009361,0.428571,0.571429,0.142857,0.428571,0.857143,0.142857,0.0,0.0,0.0,-1
-0.75,-0.198571,-0.158571,-3.557143,-3.195714,0.928571,0.153346,235.714286,6.015,-0.005094,0.142857,0.571429,0.714286,0.142857,0.857143,0.142857,0.0,0.0,0.0,-1
-0.22,-0.118571,-0.087143,112.028571,0.46,0.175714,0.389415,55.714286,6.583513,-0.00779,0.142857,0.285714,0.142857,0.285714,0.714286,0.285714,0.285714,0.142857,0.142857,-1
0.074286,0.075714,-0.045714,8.571429,3.291429,-0.255714,0.57857,55.714286,10.105428,0.994865,0.0,0.142857,0.142857,0.285714,0.428571,0.571429,0.428571,0.285714,0.142857,-1
0.064286,0.124286,-0.084286,71.342857,2.011429,-0.015714,0.435688,41.428571,6.972312,-0.004395,0.142857,0.285714,0.142857,0.285714,0.571429,0.428571,0.285714,0.142857,0.142857,-1
-0.355714,-0.095714,-0.141429,63.6,1.688571,0.087143,0.731064,55.714286,6.68005,-0.004924,0.142857,0.428571,0.142857,0.285714,0.714286,0.285714,0.285714,0.142857,0.142857,-1
-0.197143,0.327143,0.048571,31.7,-1.188571,0.257143,0.682388,167.142857,10.621395,1.993425,0.0,0.0,0.428571,0.285714,0.714286,0.285714,0.285714,0.285714,0.0,-1
-0.245714,-0.048571,0.301429,66.071429,1.914286,-0.14,0.57878,0.0,10.434589,1.992024,0.285714,0.285714,0.0,0.285714,0.714286,0.285714,0.285714,0.285714,0.0,-1
-0.375714,-0.141429,0.364286,117.914286,2.281429,-0.175714,0.545477,125.714286,10.935565,1.852553,0.428571,0.428571,0.428571,0.0,0.714286,0.285714,0.285714,0.285714,0.0,-1
-0.45,-0.252857,-0.182857,69.914286,-0.528571,0.427143,0.109561,70.0,3.294999,-1.00652,0.285714,0.428571,0.285714,0.285714,0.857143,0.142857,0.142857,0.0,0.142857,-1
-0.208571,-0.281429,-0.154286,-30.571429,0.27,0.192857,0.416725,194.285714,6.651037,-0.005657,0.0,0.428571,0.571429,0.0,0.571429,0.428571,0.285714,0.142857,0.142857,-1
-0.227143,0.044286,-0.112857,71.342857,-0.165714,0.372857,0.340327,55.714286,7.767848,0.031059,0.0,0.142857,0.142857,0.428571,0.714286,0.285714,0.142857,0.142857,0.0,-1
-0.208571,-0.274286,-0.328571,77.657143,0.301429,0.325714,0.045763,125.714286,3.127458,-2.005812,0.142857,0.285714,0.428571,0.142857,0.714286,0.285714,0.285714,0.0,0.285714,-1
0.117143,0.112857,-0.057143,21.471429,4.902857,-0.471429,0.863032,55.714286,10.928302,0.995067,0.0,0.285714,0.142857,0.285714,0.428571,0.571429,0.428571,0.285714,0.142857,-1
